Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,GuruFocus_DCF_URL
TTD,Trade Desk Inc,Communication Services,Advertising Agencies,USA,17680000000.0,41.7,36.55,-0.0073,6154555.0,28.36,https://www.gurufocus.com/stock/TTD/dcf
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,77160000000.0,41.71,192.96,-0.0006,1403970.0,25.16,https://www.gurufocus.com/stock/CTAS/dcf
NFLX,Netflix Inc,Communication Services,Entertainment,USA,393520000000.0,34.08,86.12,0.030899999999999997,61151803.0,24.14,https://www.gurufocus.com/stock/NFLX/dcf
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,60230000000.0,34.19,338.53,0.0029,870246.0,23.74,https://www.gurufocus.com/stock/RACE/dcf
PGR,Progressive Corp,Financial,Insurance - Property & Casualty,USA,120820000000.0,11.29,206.03,-0.0043,3944546.0,21.45,https://www.gurufocus.com/stock/PGR/dcf
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,5000000000.0,36.12,169.52,-0.0152,211788.0,20.3,https://www.gurufocus.com/stock/BMI/dcf
IDT,IDT Corp,Communication Services,Telecom Services,USA,1210000000.0,15.02,48.32,-0.0183,133171.0,19.11,https://www.gurufocus.com/stock/IDT/dcf
CRVL,Corvel Corp,Financial,Insurance Brokers,USA,3580000000.0,34.44,69.88,-0.0165,124190.0,17.24,https://www.gurufocus.com/stock/CRVL/dcf
PAYC,Paycom Software Inc,Technology,Software - Application,USA,8570000000.0,18.93,152.29,-0.0018,775155.0,17.16,https://www.gurufocus.com/stock/PAYC/dcf
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,7930000000.0,36.51,145.86,-0.0105,387755.0,16.76,https://www.gurufocus.com/stock/PCTY/dcf
V,Visa Inc,Financial,Credit Services,USA,623730000000.0,32.29,326.18,-0.0006,5653797.0,16.35,https://www.gurufocus.com/stock/V/dcf
